order_id,restaurant_id,customer_id,order_date,order_time,delivery_time,total_cost,item_count,payment_method,customer_rating
38221dfc,760d1a28,ef2b0995,2/10/2024,16:47,79,1344.17,5,UPI,3.8
04b2dc08,502053dd,bad21b62,1/15/2024,17:17,63,1672.1,4,Net Banking,2.5
6e1098fe,74d2ed66,308d0b15,5/6/2024,9:51,32,992.86,1,Wallet,2
d32f543e,d56c5b5e,a9e0d903,2/2/2024,6:29,31,1033.8,3,Credit Card,3.5
db1a2c5f,c867f4c3,639c9f46,7/28/2024,2:40,50,1365.96,9,Wallet,1.6
f9b9c14d,c2dd51cf,4fc9bd6b,12/4/2024,12:55,31,918.36,6,COD,3.3
617e3e23,f5e8e8a9,3c5aacd7,12/8/2024,2:37,85,732.02,4,Net Banking,4.7
d09cc1e9,e11f3ddf,bb87ba85,9/14/2024,11:11,17,618.44,10,UPI,2.9
2f3bde66,bfbb1501,7f1e90e9,1/27/2024,1:36,54,462.92,8,Wallet,1.4
553fea61,8a592a8a,cb7a4d52,2/18/2024,17:08,17,317.6,9,Wallet,2.2
2b1a8b3c,ce114fee,ca99ce50,12/14/2024,14:59,86,1343.94,5,UPI,4.2
4a6b7549,bc4f828e,f5d06841,3/16/2024,19:05,23,1065.32,7,Credit Card,2.9
5b594f80,9.18E+07,c8530ddc,8/10/2024,6:20,89,889.19,10,COD,2.7
7280c654,62249dbf,ad976efe,9/3/2024,8:40,65,1082.97,8,Net Banking,2.6
b929b9a8,9ac148bf,2617e33e,9/13/2024,8:09,87,1438.23,8,COD,2.7
f1064510,4d9244b9,aa6e3b9c,11/18/2024,6:25,53,916.43,4,UPI,2.7
21d00a48,9ff72da6,494ce647,4/16/2024,21:26,70,577.11,10,UPI,2.1
ea5a81aa,14f8c226,7c329a1c,8/4/2024,7:10,48,797.58,2,COD,4.7
7f09dd22,eab30c2f,00750b8c,1/5/2024,13:52,65,1829.31,2,Wallet,1.3
e020448d,94e70589,c0885418,7/27/2024,4:05,39,1604.65,9,COD,2.9
97d9c034,28450860,08022a84,6/28/2024,0:04,23,1389.15,8,UPI,3.7
493d455b,bf0d16e8,77db289e,5/17/2024,11:46,21,225.25,3,UPI,3.5
53e4c78f,d0b43dbe,68a17f17,10/27/2024,16:25,15,1170.99,7,Net Banking,4.6
7d544897,e6f5e6b1,da50cd1f,1/6/2024,0:56,25,1489.01,7,COD,2.7
d5fbbc19,d4eb642a,d3c28f0e,7/25/2024,2:06,74,527.85,7,Credit Card,3.1
e06eadb7,6a557120,e37c9348,12/1/2024,23:34,86,1566.55,9,UPI,3.6
e142d877,20fd72ee,c0a7f6e4,10/21/2024,18:05,59,1901.4,3,UPI,2.5
26aa6d23,5e9ad80d,25c684c1,9/28/2024,23:01,29,299.2,6,UPI,2
ef862104,228796c5,94c75dc9,7/13/2024,23:29,76,1066.17,2,COD,2.7
ee75bcda,96c583bb,815240b5,4/1/2024,10:49,67,510.73,8,Net Banking,3.2
04692a8a,d2a546bc,26c5b8b1,1/9/2024,1:48,82,788.83,3,Net Banking,4.9
83845749,369bf88e,e85c7846,1/21/2024,16:38,81,1917.09,2,Net Banking,2.5
e4aa3944,c71efa45,4744adb3,7/22/2024,1:40,43,880.75,2,Credit Card,4.1
55cd421c,9f137e8a,81f67200,8/4/2024,2:28,22,1842.33,1,COD,4.8
da0b703b,7a6b060d,0c7ac64e,11/6/2024,6:30,21,1327.12,3,Wallet,1.7
e7d7c3c8,9ff72da6,78ecf57c,7/1/2024,8:50,21,428.82,3,Credit Card,2.3
42e1767d,62026a9a,63c1dcb8,11/24/2024,22:00,18,1883.86,3,Wallet,4.2
